VENTA_ID|CAJERO_ID|COMPRADOR_ID|FECHA_VENTA|MONTO_TOTAL|CODIGO_PRODUCTO|NOMBRE_PRODUCTO|CODIGO_FAMILIA|NOMBRE_FAMILIA|CANTIDAD
330|2|292|01/09/19 14:50:24,000000000|Q.9000-.|7801268001357|ATUN EN AGU. ALGEMO|1|OFERTAS ESPECIALES|2,0
330|2|377|01/09/19 14:50:24,000000000|Q.9000-.|7802920777542|LECHE ENTERA COLUN 1L.|13|LÁCTEOS|2,0
330|2|16|01/09/19 14:50:24,000000000|Q.9000-.|7793670000083|YERBA MATE MATI.500g.|1|OFERTAS ESPECIALES|1,0
330|2|311|01/09/19 14:50:24,000000000|Q.9000-.|7801505231912|* TRIAL * TRIAL *|1|OFERTAS ESPECIALES|3,0
331|3|80|01/09/19 14:48:53,000000000|Q.3660-.|7802215501418|GALLETAS AGUA LINE COSTA 210g.|4|CONFITES-GALLETAS|1,0
332|3|22|01/09/19 14:50:05,000000000|Q.-1100.|614143375095|PAN RALLADO SERKO  110g.|1|OFERTAS ESPECIALES|2,0
333|3|226|01/09/19 14:50:42,000000000|Q.-1450.|7613037506211|MEGA DE MARACUYA NESTLE 90ml|1|OFERTAS ESPECIALES|1,0
336|2|421|01/09/19 14:53:03,000000000|Q.-200.|78023215|* TRIAL * TRIAL * TRIAL|4|CONFITES-GALLETAS|1,0
337|2|73|01/09/19 14:53:43,000000000|Q.3200-.|78019058|* TRIAL * TRIAL * TRI|7|CIGARROS|1,0
339|3|248|01/09/19 14:54:34,000000000|Q.-2100.|7801610333129|COCACOLA ORIGINAL RETORNABLE 3L.|11|BEBIDAS COCA COLA|1,0
343|2|413|01/09/19 15:02:26,000000000|Q.-1600.|7801620002305|LIMON SODA RETORNABLE 2.5L|1|OFERTAS ESPECIALES|1,0
350|3|497|01/09/19 15:10:04,000000000|Q.-1750.|7801620014681|PEPSI DESECHABLE 2.0L |12|BEBIDAS C.C.U|1,0
351|3|199|01/09/19 15:12:17,000000000|Q.-1950.|7801620006341|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL * |1|OFERTAS ESPECIALES|1,0
351|3|129|01/09/19 15:12:17,000000000|Q.-1950.|7805000301484|* TRIAL * TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
352|3|324|01/09/19 15:13:58,000000000|Q.3200-.|78019058|* TRIAL * TRIAL * TRI|7|CIGARROS|1,0
354|2|367|01/09/19 15:18:08,000000000|Q.-990.|7802900034016|LECHE DESCREMADA SOPROLE 1L.|13|LÁCTEOS|1,0
362|3|384|01/09/19 15:31:01,000000000|Q.-2240.|7613035808133|SAHNE-NUSS NESTLE 90g|1|OFERTAS ESPECIALES|1,0
362|3|202|01/09/19 15:31:01,000000000|Q.-2240.|7805000307066|* TRIAL * TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|1,0
364|3|53|01/09/19 15:32:11,000000000|Q.-1000.|8858947450042|ALOE BIO VERA 500ml|1|OFERTAS ESPECIALES|1,0
